Day,X,Y,Z,VX,VY,VZ
1,-0.195856,0.96364,-5.10809e-05,-0.0171464,-0.00349408,2.11506e-08
2,-0.212967,0.959997,-5.10519e-05,-0.0170828,-0.00379356,3.68407e-08
3,-0.230012,0.956055,-5.10073e-05,-0.0170138,-0.00409185,5.25225e-08
4,-0.246985,0.951815,-5.09469e-05,-0.0169395,-0.00438887,6.8191e-08
5,-0.263881,0.947279,-5.08709e-05,-0.01686,-0.00468452,8.38411e-08
6,-0.280695,0.942449,-5.07793e-05,-0.0167752,-0.0049787,9.9468e-08
7,-0.297422,0.937325,-5.06721e-05,-0.0166852,-0.00527131,1.15067e-07
8,-0.314057,0.931909,-5.05492e-05,-0.01659,-0.00556227,1.30632e-07
9,-0.330593,0.926203,-5.04109e-05,-0.0164897,-0.00585147,1.46159e-07
10,-0.347027,0.920209,-5.0257e-05,-0.0163842,-0.00613882,1.61643e-07
11,-0.363352,0.913929,-5.00877e-05,-0.0162736,-0.00642423,1.77079e-07
12,-0.379565,0.907364,-4.99029e-05,-0.016158,-0.0067076,1.92462e-07
13,-0.395659,0.900518,-4.97028e-05,-0.0160374,-0.00698884,2.07787e-07
14,-0.411631,0.893391,-4.94875e-05,-0.0159118,-0.00726787,2.2305e-07
15,-0.427474,0.885986,-4.92569e-05,-0.0157813,-0.00754459,2.38246e-07
16,-0.443185,0.878306,-4.90111e-05,-0.0156459,-0.0078189,2.53369e-07
17,-0.458757,0.870352,-4.87503e-05,-0.0155057,-0.00809074,2.68416e-07
18,-0.474188,0.862129,-4.84744e-05,-0.0153607,-0.00835999,2.83381e-07
19,-0.48947,0.853637,-4.81837e-05,-0.015211,-0.00862659,2.98261e-07
20,-0.504601,0.84488,-4.78781e-05,-0.0150565,-0.00889044,3.1305e-07
21,-0.519575,0.835861,-4.75577e-05,-0.0148975,-0.00915146,3.27744e-07
22,-0.534388,0.826582,-4.72228e-05,-0.0147338,-0.00940956,3.42339e-07
23,-0.549034,0.817047,-4.68733e-05,-0.0145656,-0.00966467,3.5683e-07
24,-0.563511,0.807259,-4.65093e-05,-0.014393,-0.0099167,3.71212e-07
25,-0.577812,0.797219,-4.6131e-05,-0.014216,-0.0101656,3.85483e-07
26,-0.591935,0.786933,-4.57386e-05,-0.0140346,-0.0104112,3.99637e-07
27,-0.605874,0.776403,-4.5332e-05,-0.0138489,-0.0106535,4.1367e-07
28,-0.619625,0.765632,-4.49114e-05,-0.013659,-0.0108925,4.27579e-07
29,-0.633184,0.754624,-4.44771e-05,-0.0134649,-0.0111279,4.41359e-07
30,-0.646547,0.743382,-4.4029e-05,-0.0132668,-0.0113599,4.55006e-07
31,-0.65971,0.731911,-4.35673e-05,-0.0130646,-0.0115882,4.68517e-07
32,-0.672669,0.720212,-4.30922e-05,-0.0128585,-0.0118128,4.81888e-07
33,-0.68542,0.708291,-4.26038e-05,-0.0126484,-0.0120337,4.95116e-07
34,-0.697959,0.696152,-4.21022e-05,-0.0124346,-0.0122508,5.08196e-07
35,-0.710282,0.683797,-4.15877e-05,-0.012217,-0.0124639,5.21126e-07
36,-0.722386,0.671231,-4.10603e-05,-0.0119958,-0.0126732,5.33902e-07
37,-0.734267,0.658457,-4.05202e-05,-0.011771,-0.0128784,5.46521e-07
38,-0.745922,0.645481,-3.99675e-05,-0.0115426,-0.0130795,5.5898e-07
39,-0.757346,0.632306,-3.94025e-05,-0.0113108,-0.0132765,5.71275e-07
40,-0.768537,0.618935,-3.88253e-05,-0.0110757,-0.0134694,5.83405e-07
41,-0.779491,0.605374,-3.82361e-05,-0.0108372,-0.0136579,5.95365e-07
42,-0.790205,0.591627,-3.76349e-05,-0.0105956,-0.0138422,6.07154e-07
43,-0.800676,0.577698,-3.70221e-05,-0.0103508,-0.0140221,6.18768e-07
44,-0.810901,0.563591,-3.63977e-05,-0.010103,-0.0141975,6.30206e-07
45,-0.820877,0.549311,-3.5762e-05,-0.00985222,-0.0143686,6.41466e-07
46,-0.8306,0.534862,-3.51151e-05,-0.00959857,-0.014535,6.52543e-07
47,-0.840069,0.520249,-3.44573e-05,-0.00934214,-0.014697,6.63438e-07
48,-0.849279,0.505476,-3.37886e-05,-0.009083,-0.0148543,6.74148e-07
49,-0.85823,0.490548,-3.31094e-05,-0.00882123,-0.015007,6.8467e-07
50,-0.866917,0.47547,-3.24197e-05,-0.00855694,-0.015155,6.95004e-07
51,-0.875339,0.460247,-3.17198e-05,-0.00829019,-0.0152982,7.05147e-07
52,-0.883493,0.444882,-3.10098e-05,-0.00802109,-0.0154367,7.15098e-07
53,-0.891376,0.429382,-3.029e-05,-0.00774971,-0.0155703,7.24856e-07
54,-0.898988,0.41375,-2.95605e-05,-0.00747616,-0.0156991,7.34419e-07
55,-0.906325,0.397992,-2.88215e-05,-0.0072005,-0.0158231,7.43786e-07
56,-0.913385,0.382113,-2.80733e-05,-0.00692285,-0.0159421,7.52956e-07
57,-0.920166,0.366117,-2.7316e-05,-0.00664328,-0.0160562,7.61927e-07
58,-0.926668,0.35001,-2.65499e-05,-0.00636188,-0.0161653,7.70698e-07
59,-0.932887,0.333796,-2.57751e-05,-0.00607876,-0.0162694,7.79269e-07
60,-0.938822,0.31748,-2.49918e-05,-0.00579399,-0.0163684,7.87637e-07
61,-0.944471,0.301068,-2.42002e-05,-0.00550767,-0.0164625,7.95802e-07
62,-0.949834,0.284564,-2.34006e-05,-0.00521989,-0.0165514,8.03762e-07
63,-0.954908,0.267974,-2.25932e-05,-0.00493075,-0.0166353,8.11517e-07
