Day,X,Y,Z,VX,VY,VZ
1,1.04856,4.97337,-0.0441188,-0.00747864,0.00191325,0.000159357
2,1.04108,4.97528,-0.0439594,-0.007481,0.00190204,0.000159456
3,1.0336,4.97717,-0.0438,-0.00748334,0.00189082,0.000159555
4,1.02612,4.97906,-0.0436404,-0.00748566,0.0018796,0.000159654
5,1.01863,4.98093,-0.0434808,-0.00748796,0.00186838,0.000159752
6,1.01115,4.98279,-0.043321,-0.00749025,0.00185716,0.00015985
7,1.00366,4.98464,-0.0431611,-0.00749251,0.00184594,0.000159947
8,0.996165,4.98648,-0.0430012,-0.00749476,0.00183471,0.000160044
9,0.988671,4.98831,-0.0428411,-0.007497,0.00182348,0.000160141
10,0.981175,4.99013,-0.042681,-0.00749921,0.00181225,0.000160237
11,0.973677,4.99194,-0.0425208,-0.00750141,0.00180102,0.000160333
12,0.966177,4.99373,-0.0423604,-0.00750359,0.00178979,0.000160428
13,0.958674,4.99552,-0.0422,-0.00750576,0.00177855,0.000160523
14,0.951169,4.99729,-0.0420395,-0.00750791,0.00176731,0.000160618
15,0.943663,4.99905,-0.0418788,-0.00751004,0.00175607,0.000160712
16,0.936154,5.0008,-0.0417181,-0.00751215,0.00174483,0.000160806
17,0.928642,5.00254,-0.0415573,-0.00751424,0.00173359,0.0001609
18,0.921129,5.00427,-0.0413964,-0.00751632,0.00172234,0.000160993
19,0.913614,5.00598,-0.0412354,-0.00751838,0.0017111,0.000161086
20,0.906097,5.00769,-0.0410743,-0.00752043,0.00169985,0.000161178
21,0.898577,5.00938,-0.0409132,-0.00752245,0.0016886,0.00016127
22,0.891056,5.01106,-0.0407519,-0.00752446,0.00167735,0.000161362
23,0.883533,5.01273,-0.0405905,-0.00752645,0.00166609,0.000161453
24,0.876007,5.01439,-0.0404291,-0.00752843,0.00165484,0.000161544
25,0.86848,5.01604,-0.0402675,-0.00753038,0.00164358,0.000161635
26,0.860951,5.01768,-0.0401059,-0.00753232,0.00163233,0.000161725
27,0.853419,5.01931,-0.0399442,-0.00753425,0.00162107,0.000161815
28,0.845886,5.02092,-0.0397824,-0.00753615,0.00160981,0.000161904
29,0.838351,5.02253,-0.0396205,-0.00753804,0.00159855,0.000161993
30,0.830814,5.02412,-0.0394585,-0.00753991,0.00158728,0.000162082
31,0.823276,5.0257,-0.0392964,-0.00754176,0.00157602,0.00016217
32,0.815735,5.02727,-0.0391342,-0.0075436,0.00156475,0.000162258
33,0.808193,5.02883,-0.038972,-0.00754542,0.00155349,0.000162345
34,0.800649,5.03037,-0.0388096,-0.00754722,0.00154222,0.000162432
35,0.793102,5.03191,-0.0386472,-0.007549,0.00153095,0.000162519
36,0.785555,5.03344,-0.0384847,-0.00755077,0.00151968,0.000162605
37,0.778005,5.03495,-0.0383221,-0.00755252,0.00150841,0.000162691
38,0.770454,5.03645,-0.0381594,-0.00755425,0.00149713,0.000162777
39,0.762901,5.03794,-0.0379966,-0.00755597,0.00148586,0.000162862
40,0.755346,5.03942,-0.0378337,-0.00755767,0.00147458,0.000162947
41,0.74779,5.04089,-0.0376708,-0.00755935,0.00146331,0.000163031
42,0.740232,5.04235,-0.0375078,-0.00756101,0.00145203,0.000163116
43,0.732672,5.04379,-0.0373447,-0.00756266,0.00144075,0.000163199
44,0.725111,5.04523,-0.0371815,-0.00756429,0.00142947,0.000163283
