Day,X,Y,Z,VX,VY,VZ
1,-0.534376,1.52184,0.0449957,-0.0126746,-0.00344629,0.000238613
2,-0.547028,1.51834,0.0452327,-0.0126365,-0.00355331,0.000235435
3,-0.559642,1.51474,0.0454665,-0.0125976,-0.00365989,0.000232247
4,-0.572216,1.51103,0.0456971,-0.0125579,-0.00376603,0.000229048
5,-0.58475,1.50721,0.0459244,-0.0125173,-0.00387172,0.000225839
6,-0.597244,1.50328,0.0461486,-0.012476,-0.00397696,0.000222619
7,-0.609696,1.49926,0.0463696,-0.0124339,-0.00408175,0.000219389
8,-0.622105,1.49512,0.0465873,-0.0123909,-0.00418607,0.000216149
9,-0.634471,1.49089,0.0468017,-0.0123472,-0.00428993,0.0002129
10,-0.646792,1.48655,0.0470129,-0.0123027,-0.00439332,0.000209641
11,-0.659069,1.4821,0.0472209,-0.0122574,-0.00449624,0.000206373
12,-0.6713,1.47756,0.0474256,-0.0122114,-0.00459867,0.000203096
13,-0.683485,1.47291,0.047627,-0.0121645,-0.00470063,0.000199811
14,-0.695623,1.46816,0.0478251,-0.0121169,-0.0048021,0.000196516
15,-0.707712,1.46331,0.0480199,-0.0120686,-0.00490308,0.000193214
16,-0.719753,1.45835,0.0482114,-0.0120195,-0.00500356,0.000189903
17,-0.731744,1.4533,0.0483996,-0.0119696,-0.00510355,0.000186584
18,-0.743686,1.44815,0.0485845,-0.011919,-0.00520303,0.000183258
19,-0.755576,1.4429,0.048766,-0.0118677,-0.00530201,0.000179924
20,-0.767414,1.43755,0.0489442,-0.0118156,-0.00540047,0.000176583
21,-0.7792,1.4321,0.0491191,-0.0117628,-0.00549842,0.000173234
22,-0.790933,1.42656,0.0492906,-0.0117092,-0.00559586,0.000169879
23,-0.802612,1.42091,0.0494587,-0.011655,-0.00569277,0.000166517
24,-0.814237,1.41517,0.0496235,-0.0116,-0.00578916,0.000163149
25,-0.825806,1.40934,0.049785,-0.0115443,-0.00588501,0.000159774
26,-0.837319,1.40341,0.049943,-0.011488,-0.00598034,0.000156393
27,-0.848775,1.39738,0.0500977,-0.0114309,-0.00607512,0.000153006
28,-0.860174,1.39126,0.0502489,-0.0113731,-0.00616937,0.000149614
29,-0.871515,1.38504,0.0503968,-0.0113146,-0.00626307,0.000146216
30,-0.882797,1.37874,0.0505413,-0.0112555,-0.00635623,0.000142813
31,-0.89402,1.37234,0.0506823,-0.0111957,-0.00644884,0.000139404
32,-0.905183,1.36584,0.05082,-0.0111352,-0.00654089,0.000135991
33,-0.916284,1.35926,0.0509542,-0.011074,-0.00663238,0.000132573
34,-0.927324,1.35258,0.0510851,-0.0110122,-0.00672332,0.00012915
35,-0.938302,1.34581,0.0512125,-0.0109497,-0.00681368,0.000125723
36,-0.949218,1.33896,0.0513365,-0.0108865,-0.00690349,0.000122292
37,-0.960069,1.33201,0.051457,-0.0108227,-0.00699272,0.000118857
38,-0.970857,1.32498,0.0515741,-0.0107582,-0.00708138,0.000115418
39,-0.98158,1.31785,0.0516878,-0.0106932,-0.00716946,0.000111975
40,-0.992237,1.31064,0.051798,-0.0106274,-0.00725696,0.000108529
41,-1.00283,1.30334,0.0519048,-0.0105611,-0.00734387,0.00010508
42,-1.01335,1.29596,0.0520081,-0.0104941,-0.0074302,0.000101628
43,-1.02381,1.28849,0.052108,-0.0104265,-0.00751595,9.81727e-05
44,-1.0342,1.28093,0.0522044,-0.0103583,-0.00760109,9.47148e-05
45,-1.04452,1.27329,0.0522973,-0.0102894,-0.00768565,9.12544e-05
46,-1.05477,1.26556,0.0523868,-0.01022,-0.0077696,8.77917e-05
47,-1.06496,1.25775,0.0524729,-0.01015,-0.00785296,8.43268e-05
48,-1.07507,1.24986,0.0525554,-0.0100793,-0.00793571,8.086e-05
49,-1.08511,1.24189,0.0526345,-0.0100081,-0.00801785,7.73913e-05
50,-1.09508,1.23383,0.0527102,-0.00993627,-0.00809938,7.3921e-05
51,-1.10498,1.22569,0.0527823,-0.00986387,-0.0081803,7.04493e-05
52,-1.1148,1.21747,0.052851,-0.00979089,-0.0082606,6.69762e-05
53,-1.12455,1.20918,0.0529163,-0.00971734,-0.00834029,6.35021e-05
54,-1.13423,1.2008,0.052978,-0.00964321,-0.00841935,6.00271e-05
