Day,X,Y,Z,VX,VY,VZ
1,-0.381508,-0.186138,0.019781,0.00653255,-0.0240619,-0.00256556
2,-0.374242,-0.209835,0.017178,0.00796823,-0.0233105,-0.00263583
3,-0.365576,-0.232747,0.0145108,0.00933173,-0.0224956,-0.0026943
4,-0.355583,-0.254813,0.0117909,0.0106236,-0.0216229,-0.00274147
5,-0.344335,-0.27598,0.0090294,0.0118445,-0.0206977,-0.00277785
6,-0.331901,-0.296197,0.00623679,0.0129953,-0.0197246,-0.00280388
7,-0.318351,-0.315418,0.00342321,0.0140768,-0.0187079,-0.00281999
8,-0.303755,-0.333603,0.000598373,0.01509,-0.0176514,-0.00282659
9,-0.28818,-0.350711,-0.00222839,0.0160357,-0.0165586,-0.00282402
10,-0.271693,-0.366711,-0.0050481,0.0169148,-0.0154326,-0.00281264
11,-0.25436,-0.381568,-0.0078521,0.0177281,-0.0142761,-0.00279273
12,-0.236246,-0.395255,-0.010632,0.0184763,-0.0130919,-0.00276457
13,-0.217417,-0.407745,-0.0133797,0.01916,-0.0118821,-0.00272842
14,-0.197937,-0.419012,-0.0160873,0.0197797,-0.0106489,-0.00268448
15,-0.177869,-0.429036,-0.0187472,0.0203358,-0.00939436,-0.00263296
16,-0.157277,-0.437796,-0.0213518,0.0208285,-0.00812018,-0.00257403
17,-0.136223,-0.445272,-0.0238938,0.021258,-0.0068281,-0.00250783
18,-0.114772,-0.451448,-0.0263661,0.0216243,-0.00551974,-0.00243451
19,-0.0929868,-0.456309,-0.0287615,0.0219271,-0.00419661,-0.00235415
20,-0.0709304,-0.459839,-0.0310731,0.0221662,-0.00286021,-0.00226687
21,-0.0486668,-0.462028,-0.033294,0.022341,-0.00151201,-0.00217273
22,-0.0262607,-0.462862,-0.0354173,0.022451,-0.000153457,-0.0020718
23,-0.00377729,-0.462334,-0.0374364,0.0224953,0.00121395,-0.00196411
24,0.0187173,-0.460435,-0.0393444,0.0224729,0.00258869,-0.00184971
25,0.041156,-0.457158,-0.0411348,0.0223826,0.00396915,-0.00172862
26,0.0634701,-0.452499,-0.0428007,0.0222232,0.00535363,-0.00160085
27,0.08559,-0.446454,-0.0443356,0.021993,0.00674029,-0.00146642
28,0.107444,-0.439022,-0.0457327,0.0216904,0.00812714,-0.00132533
29,0.128959,-0.430204,-0.0469855,0.0213134,0.00951198,-0.00117758
30,0.150059,-0.420004,-0.0480872,0.02086,0.0108924,-0.00102318
31,0.170667,-0.408426,-0.0490313,0.0203279,0.0122656,-0.000862155
32,0.190703,-0.395479,-0.0498111,0.0197147,0.0136286,-0.000694519
33,0.210085,-0.381176,-0.05042,0.0190177,0.0149781,-0.000520316
34,0.228728,-0.365531,-0.0508514,0.0182343,0.01631,-0.000339609
35,0.246544,-0.348565,-0.051099,0.0173616,0.0176202,-0.000152491
36,0.263442,-0.330301,-0.0511563,0.0163965,0.0189036,4.09045e-05
37,0.279328,-0.310768,-0.0510172,0.0153363,0.0201547,0.000240397
38,0.294106,-0.290003,-0.0506756,0.0141777,0.0213672,0.000445745
39,0.307675,-0.268046,-0.050126,0.0129181,0.022534,0.00065663
40,0.319935,-0.244947,-0.0493628,0.0115547,0.023647,0.000872644
41,0.330778,-0.220765,-0.0483812,0.0100852,0.0246973,0.00109327
42,0.340099,-0.195566,-0.0471768,0.00850757,0.0256749,0.00131786
43,0.347789,-0.169429,-0.0457462,0.00682067,0.0265684,0.0015456
44,0.353737,-0.142444,-0.0440865,0.00502411,0.0273654,0.00177552
45,0.357834,-0.114714,-0.0421961,0.0031187,0.0280523,0.00200642
46,0.359973,-0.0863554,-0.0400748,0.00110672,0.028614,0.00223687
47,0.360047,-0.0575018,-0.0377236,-0.00100771,0.0290345,0.00246517
48,0.357958,-0.0283026,-0.0351458,-0.00321821,0.0292965,0.00268934
49,0.353613,0.00107493,-0.0323464,-0.00551568,0.0293822,0.00290707
50,0.34693,0.0304454,-0.0293333,-0.00788788,0.0292731,0.00311573
51,0.337841,0.0596048,-0.0261167,-0.0103189,0.0289508,0.00331238
52,0.326297,0.088331,-0.0227103,-0.012789,0.028398,0.00349376
53,0.31227,0.116385,-0.0191311,-0.0152739,0.0275985,0.00365635
54,0.295758,0.143513,-0.0153997,-0.0177451,0.0265393,0.00379645
55,0.27679,0.169449,-0.0115403,-0.0201699,0.0252108,0.0039103
56,0.25543,0.19392,-0.00758125,-0.0225118,0.0236088,0.00399418
57,0.231779,0.216653,-0.0035542,-0.0247314,0.0217351,0.00404464
58,0.205981,0.237378,0.000505787,-0.0267877,0.0195991,0.0040587
59,0.178218,0.25584,0.00456095,-0.0286401,0.0172181,0.00403402
60,0.148716,0.271805,0.00857159,-0.0302495,0.0146178,0.00396914
61,0.117736,0.285068,0.012497,-0.0315815,0.0118316,0.00386363
62,0.085571,0.295462,0.0162967,-0.0326075,0.00890036,0.00371819
63,0.0525393,0.302864,0.0199313,-0.033307,0.00586993,0.0035347
64,0.0189756,0.307198,0.0233641,-0.0336686,0.00278962,0.00331614
65,-0.0147792,0.308441,0.0265618,-0.0336906,-0.000290332,0.00306646
66,-0.048387,0.306618,0.0294953,-0.0333809,-0.00332119,0.00279036
67,-0.0815224,0.301801,0.0321409,-0.0327558,-0.00625786,0.00249304
68,-0.11388,0.294106,0.03448,-0.0318391,-0.00906065,0.0021799
69,-0.145183,0.283684,0.0364995,-0.0306599,-0.0116965,0.00185634
70,-0.175183,0.270719,0.0381917,-0.0292512,-0.0141396,0.00152748
71,-0.203669,0.255413,0.0395536,-0.0276476,-0.0163713,0.00119801
72,-0.230463,0.237986,0.040587,-0.0258838,-0.0183799,0.000872084
73,-0.255422,0.218664,0.0412973,-0.0239936,-0.0201601,0.000553231
74,-0.278437,0.197677,0.0416932,-0.0220085,-0.0217116,0.000244368
75,-0.299427,0.175252,0.0417859,-0.0199573,-0.0230383,-5.21969e-05
76,-0.31834,0.151613,0.0415888,-0.0178657,-0.0241477,-0.000334713
77,-0.335148,0.12697,0.0411167,-0.0157559,-0.0250496,-0.000601927
78,-0.349843,0.101528,0.0403853,-0.0136472,-0.0257552,-0.000853012
79,-0.362435,0.0754744,0.0394111,-0.0115555,-0.026277,-0.0010875
80,-0.372948,0.0489882,0.0382109,-0.00949435,-0.0266277,-0.00130522
81,-0.381418,0.0222338,0.0368014,-0.00747439,-0.02682,-0.00150621
82,-0.387893,-0.00463695,0.0351993,-0.00550429,-0.0268666,-0.00169072
