Day,X,Y,Z,VX,VY,VZ
1,29.88,-0.631028,-0.675566,3.90843e-05,0.0031604,-6.63625e-05
2,29.88,-0.627869,-0.675632,3.87526e-05,0.0031604,-6.6355e-05
3,29.88,-0.624709,-0.675699,3.84209e-05,0.00316041,-6.63475e-05
4,29.8801,-0.62155,-0.675765,3.80892e-05,0.00316042,-6.634e-05
5,29.8801,-0.61839,-0.675831,3.77575e-05,0.00316042,-6.63325e-05
6,29.8802,-0.615231,-0.675898,3.74259e-05,0.00316043,-6.6325e-05
7,29.8802,-0.612071,-0.675964,3.70942e-05,0.00316044,-6.63175e-05
8,29.8802,-0.608912,-0.67603,3.67625e-05,0.00316045,-6.631e-05
9,29.8803,-0.605752,-0.676097,3.64308e-05,0.00316045,-6.63025e-05
10,29.8803,-0.602593,-0.676163,3.60991e-05,0.00316046,-6.6295e-05
11,29.8803,-0.599433,-0.676229,3.57674e-05,0.00316047,-6.62875e-05
12,29.8804,-0.596273,-0.676295,3.54357e-05,0.00316047,-6.62799e-05
13,29.8804,-0.593114,-0.676362,3.5104e-05,0.00316048,-6.62724e-05
14,29.8804,-0.589954,-0.676428,3.47723e-05,0.00316049,-6.62649e-05
15,29.8805,-0.586795,-0.676494,3.44406e-05,0.00316049,-6.62574e-05
16,29.8805,-0.583635,-0.67656,3.4109e-05,0.0031605,-6.62499e-05
17,29.8805,-0.580475,-0.676627,3.37773e-05,0.00316051,-6.62424e-05
18,29.8806,-0.577316,-0.676693,3.34456e-05,0.00316051,-6.62349e-05
19,29.8806,-0.574156,-0.676759,3.31139e-05,0.00316052,-6.62274e-05
20,29.8806,-0.570996,-0.676825,3.27822e-05,0.00316052,-6.62199e-05
21,29.8807,-0.567837,-0.676892,3.24505e-05,0.00316053,-6.62124e-05
22,29.8807,-0.564677,-0.676958,3.21188e-05,0.00316054,-6.62049e-05
23,29.8807,-0.561517,-0.677024,3.1787e-05,0.00316054,-6.61973e-05
24,29.8808,-0.558358,-0.67709,3.14553e-05,0.00316055,-6.61898e-05
25,29.8808,-0.555198,-0.677156,3.11236e-05,0.00316056,-6.61823e-05
26,29.8808,-0.552038,-0.677222,3.07919e-05,0.00316056,-6.61748e-05
27,29.8809,-0.548879,-0.677289,3.04602e-05,0.00316057,-6.61673e-05
28,29.8809,-0.545719,-0.677355,3.01285e-05,0.00316057,-6.61598e-05
29,29.8809,-0.542559,-0.677421,2.97968e-05,0.00316058,-6.61522e-05
30,29.881,-0.5394,-0.677487,2.94651e-05,0.00316059,-6.61447e-05
31,29.881,-0.53624,-0.677553,2.91334e-05,0.00316059,-6.61372e-05
32,29.881,-0.53308,-0.677619,2.88017e-05,0.0031606,-6.61297e-05
33,29.881,-0.52992,-0.677685,2.847e-05,0.0031606,-6.61222e-05
34,29.8811,-0.526761,-0.677751,2.81382e-05,0.00316061,-6.61146e-05
35,29.8811,-0.523601,-0.677818,2.78065e-05,0.00316062,-6.61071e-05
36,29.8811,-0.520441,-0.677884,2.74748e-05,0.00316062,-6.60996e-05
37,29.8812,-0.517282,-0.67795,2.71431e-05,0.00316063,-6.60921e-05
38,29.8812,-0.514122,-0.678016,2.68114e-05,0.00316063,-6.60845e-05
39,29.8812,-0.510962,-0.678082,2.64796e-05,0.00316064,-6.6077e-05
40,29.8812,-0.507802,-0.678148,2.61479e-05,0.00316065,-6.60695e-05
41,29.8813,-0.504642,-0.678214,2.58162e-05,0.00316065,-6.6062e-05
42,29.8813,-0.501483,-0.67828,2.54845e-05,0.00316066,-6.60544e-05
43,29.8813,-0.498323,-0.678346,2.51528e-05,0.00316066,-6.60469e-05
44,29.8813,-0.495163,-0.678412,2.4821e-05,0.00316067,-6.60394e-05
45,29.8814,-0.492003,-0.678478,2.44893e-05,0.00316067,-6.60318e-05
46,29.8814,-0.488844,-0.678544,2.41576e-05,0.00316068,-6.60243e-05
47,29.8814,-0.485684,-0.67861,2.38258e-05,0.00316068,-6.60168e-05
48,29.8814,-0.482524,-0.678676,2.34941e-05,0.00316069,-6.60092e-05
49,29.8815,-0.479364,-0.678742,2.31624e-05,0.0031607,-6.60017e-05
50,29.8815,-0.476204,-0.678808,2.28306e-05,0.0031607,-6.59942e-05
51,29.8815,-0.473044,-0.678874,2.24989e-05,0.00316071,-6.59866e-05
52,29.8815,-0.469885,-0.67894,2.21672e-05,0.00316071,-6.59791e-05
53,29.8816,-0.466725,-0.679006,2.18354e-05,0.00316072,-6.59716e-05
54,29.8816,-0.463565,-0.679072,2.15037e-05,0.00316072,-6.5964e-05
55,29.8816,-0.460405,-0.679138,2.1172e-05,0.00316073,-6.59565e-05
56,29.8816,-0.457245,-0.679204,2.08402e-05,0.00316073,-6.5949e-05
57,29.8816,-0.454085,-0.67927,2.05085e-05,0.00316074,-6.59414e-05
58,29.8817,-0.450926,-0.679336,2.01768e-05,0.00316074,-6.59339e-05
59,29.8817,-0.447766,-0.679401,1.9845e-05,0.00316075,-6.59263e-05
60,29.8817,-0.444606,-0.679467,1.95133e-05,0.00316075,-6.59188e-05
61,29.8817,-0.441446,-0.679533,1.91815e-05,0.00316076,-6.59113e-05
62,29.8817,-0.438286,-0.679599,1.88498e-05,0.00316076,-6.59037e-05
63,29.8818,-0.435126,-0.679665,1.8518e-05,0.00316077,-6.58962e-05
64,29.8818,-0.431966,-0.679731,1.81863e-05,0.00316077,-6.58886e-05
65,29.8818,-0.428806,-0.679797,1.78546e-05,0.00316078,-6.58811e-05
66,29.8818,-0.425647,-0.679863,1.75228e-05,0.00316078,-6.58735e-05
67,29.8818,-0.422487,-0.679928,1.71911e-05,0.00316079,-6.5866e-05
68,29.8818,-0.419327,-0.679994,1.68593e-05,0.00316079,-6.58584e-05
69,29.8819,-0.416167,-0.68006,1.65276e-05,0.0031608,-6.58509e-05
70,29.8819,-0.413007,-0.680126,1.61958e-05,0.0031608,-6.58433e-05
71,29.8819,-0.409847,-0.680192,1.58641e-05,0.00316081,-6.58358e-05
72,29.8819,-0.406687,-0.680258,1.55323e-05,0.00316081,-6.58282e-05
