Day,X,Y,Z,VX,VY,VZ
1,9.46177,-1.75914,-0.346,0.000706242,0.00547568,-0.00012312
2,9.46248,-1.75367,-0.346123,0.000703104,0.00547627,-0.000123005
3,9.46318,-1.74819,-0.346245,0.000699964,0.00547685,-0.00012289
4,9.46388,-1.74272,-0.346368,0.000696824,0.00547743,-0.000122775
5,9.46457,-1.73724,-0.346491,0.000693684,0.00547801,-0.00012266
6,9.46527,-1.73176,-0.346614,0.000690543,0.00547858,-0.000122545
7,9.46595,-1.72629,-0.346736,0.000687402,0.00547916,-0.00012243
8,9.46664,-1.72081,-0.346858,0.00068426,0.00547973,-0.000122315
9,9.46732,-1.71533,-0.346981,0.000681117,0.0054803,-0.0001222
10,9.468,-1.70985,-0.347103,0.000677974,0.00548087,-0.000122085
11,9.46868,-1.70437,-0.347225,0.000674831,0.00548144,-0.00012197
12,9.46935,-1.69889,-0.347347,0.000671687,0.00548201,-0.000121854
13,9.47002,-1.69341,-0.347468,0.000668542,0.00548257,-0.000121739
14,9.47069,-1.68793,-0.34759,0.000665397,0.00548314,-0.000121623
15,9.47135,-1.68245,-0.347711,0.000662251,0.0054837,-0.000121508
16,9.47201,-1.67696,-0.347833,0.000659105,0.00548426,-0.000121392
17,9.47267,-1.67148,-0.347954,0.000655959,0.00548481,-0.000121277
18,9.47332,-1.666,-0.348075,0.000652811,0.00548537,-0.000121161
19,9.47397,-1.66051,-0.348196,0.000649664,0.00548592,-0.000121046
20,9.47462,-1.65503,-0.348317,0.000646516,0.00548647,-0.00012093
21,9.47527,-1.64954,-0.348438,0.000643367,0.00548702,-0.000120814
22,9.47591,-1.64406,-0.348559,0.000640218,0.00548757,-0.000120698
23,9.47655,-1.63857,-0.34868,0.000637068,0.00548812,-0.000120582
24,9.47718,-1.63308,-0.3488,0.000633918,0.00548866,-0.000120467
25,9.47782,-1.6276,-0.34892,0.000630767,0.00548921,-0.000120351
26,9.47844,-1.62211,-0.349041,0.000627616,0.00548975,-0.000120235
27,9.47907,-1.61662,-0.349161,0.000624464,0.00549029,-0.000120118
28,9.47969,-1.61113,-0.349281,0.000621312,0.00549083,-0.000120002
29,9.48031,-1.60564,-0.349401,0.000618159,0.00549136,-0.000119886
30,9.48093,-1.60015,-0.349521,0.000615006,0.0054919,-0.00011977
31,9.48154,-1.59466,-0.34964,0.000611852,0.00549243,-0.000119654
32,9.48215,-1.58917,-0.34976,0.000608698,0.00549296,-0.000119537
33,9.48276,-1.58368,-0.349879,0.000605543,0.00549349,-0.000119421
34,9.48336,-1.57819,-0.349999,0.000602388,0.00549402,-0.000119304
35,9.48396,-1.57269,-0.350118,0.000599232,0.00549454,-0.000119188
36,9.48456,-1.5672,-0.350237,0.000596076,0.00549507,-0.000119071
37,9.48516,-1.56171,-0.350356,0.000592919,0.00549559,-0.000118955
38,9.48575,-1.55621,-0.350475,0.000589762,0.00549611,-0.000118838
39,9.48633,-1.55072,-0.350593,0.000586604,0.00549663,-0.000118722
40,9.48692,-1.54522,-0.350712,0.000583446,0.00549714,-0.000118605
41,9.4875,-1.53973,-0.350831,0.000580287,0.00549766,-0.000118488
42,9.48808,-1.53423,-0.350949,0.000577128,0.00549817,-0.000118371
43,9.48865,-1.52873,-0.351067,0.000573969,0.00549868,-0.000118254
44,9.48923,-1.52323,-0.351185,0.000570808,0.00549919,-0.000118137
45,9.4898,-1.51774,-0.351304,0.000567648,0.0054997,-0.00011802
46,9.49036,-1.51224,-0.351421,0.000564487,0.0055002,-0.000117903
47,9.49092,-1.50674,-0.351539,0.000561325,0.00550071,-0.000117786
48,9.49148,-1.50124,-0.351657,0.000558163,0.00550121,-0.000117669
49,9.49204,-1.49574,-0.351775,0.000555,0.00550171,-0.000117552
50,9.49259,-1.49024,-0.351892,0.000551837,0.00550221,-0.000117435
51,9.49314,-1.48474,-0.352009,0.000548674,0.00550271,-0.000117317
52,9.49369,-1.47924,-0.352127,0.000545509,0.0055032,-0.0001172
53,9.49424,-1.47374,-0.352244,0.000542345,0.00550369,-0.000117083
54,9.49478,-1.46823,-0.352361,0.00053918,0.00550419,-0.000116965
55,9.49531,-1.46273,-0.352478,0.000536014,0.00550468,-0.000116848
56,9.49585,-1.45723,-0.352594,0.000532848,0.00550516,-0.00011673
57,9.49638,-1.45172,-0.352711,0.000529682,0.00550565,-0.000116613
58,9.49691,-1.44622,-0.352827,0.000526515,0.00550613,-0.000116495
59,9.49743,-1.44071,-0.352944,0.000523348,0.00550662,-0.000116377
60,9.49795,-1.43521,-0.35306,0.00052018,0.0055071,-0.00011626
61,9.49847,-1.4297,-0.353176,0.000517011,0.00550758,-0.000116142
62,9.49899,-1.4242,-0.353292,0.000513843,0.00550805,-0.000116024
63,9.4995,-1.41869,-0.353408,0.000510673,0.00550853,-0.000115906
