Day,X,Y,Z,VX,VY,VZ
1,11.1004,16.0965,-0.0841483,-0.00327417,0.00205289,5.00892e-05
2,11.0971,16.0986,-0.0840982,-0.00327461,0.00205225,5.00926e-05
3,11.0938,16.1006,-0.0840481,-0.00327505,0.00205161,5.00959e-05
4,11.0905,16.1027,-0.083998,-0.00327549,0.00205097,5.00992e-05
5,11.0873,16.1047,-0.0839479,-0.00327593,0.00205033,5.01025e-05
6,11.084,16.1068,-0.0838978,-0.00327637,0.00204969,5.01059e-05
7,11.0807,16.1088,-0.0838477,-0.00327681,0.00204906,5.01092e-05
8,11.0774,16.1109,-0.0837977,-0.00327725,0.00204842,5.01125e-05
9,11.0742,16.1129,-0.0837476,-0.00327769,0.00204778,5.01158e-05
10,11.0709,16.115,-0.0836974,-0.00327813,0.00204714,5.01191e-05
11,11.0676,16.117,-0.0836473,-0.00327857,0.0020465,5.01224e-05
12,11.0643,16.1191,-0.0835972,-0.00327901,0.00204586,5.01258e-05
13,11.061,16.1211,-0.0835471,-0.00327945,0.00204522,5.01291e-05
14,11.0578,16.1232,-0.083497,-0.00327988,0.00204458,5.01324e-05
15,11.0545,16.1252,-0.0834469,-0.00328032,0.00204394,5.01357e-05
16,11.0512,16.1272,-0.0833968,-0.00328076,0.0020433,5.0139e-05
17,11.0479,16.1293,-0.0833466,-0.0032812,0.00204266,5.01423e-05
18,11.0446,16.1313,-0.0832965,-0.00328164,0.00204202,5.01456e-05
19,11.0414,16.1334,-0.0832464,-0.00328208,0.00204138,5.01489e-05
20,11.0381,16.1354,-0.0831962,-0.00328252,0.00204074,5.01522e-05
21,11.0348,16.1375,-0.0831461,-0.00328295,0.0020401,5.01555e-05
22,11.0315,16.1395,-0.0830959,-0.00328339,0.00203946,5.01588e-05
23,11.0282,16.1415,-0.0830458,-0.00328383,0.00203881,5.01621e-05
24,11.025,16.1436,-0.0829957,-0.00328427,0.00203817,5.01653e-05
25,11.0217,16.1456,-0.0829455,-0.00328471,0.00203753,5.01686e-05
26,11.0184,16.1476,-0.0828953,-0.00328514,0.00203689,5.01719e-05
27,11.0151,16.1497,-0.0828452,-0.00328558,0.00203625,5.01752e-05
28,11.0118,16.1517,-0.082795,-0.00328602,0.00203561,5.01785e-05
29,11.0085,16.1538,-0.0827449,-0.00328646,0.00203497,5.01818e-05
30,11.0052,16.1558,-0.0826947,-0.00328689,0.00203433,5.0185e-05
31,11.002,16.1578,-0.0826445,-0.00328733,0.00203368,5.01883e-05
