Day,X,Y,Z,VX,VY,VZ
1,0.437439,0.574602,-0.0173492,-0.016156,0.0121638,0.00109927
2,0.421116,0.586537,-0.0162434,-0.0164933,0.0117076,0.00111247
3,0.404462,0.598011,-0.0151249,-0.0168178,0.0112421,0.00112479
4,0.387489,0.609015,-0.0139945,-0.0171292,0.0107674,0.00113625
5,0.370213,0.61954,-0.012853,-0.0174274,0.010284,0.00114681
6,0.352644,0.629577,-0.0117015,-0.0177119,0.00979225,0.00115648
7,0.334799,0.639119,-0.0105407,-0.0179827,0.00929251,0.00116524
8,0.316689,0.648157,-0.00937166,-0.0182395,0.00878518,0.00117309
9,0.29833,0.656684,-0.00819521,-0.018482,0.00827065,0.00118001
10,0.279735,0.664694,-0.00701229,-0.0187101,0.00774932,0.00118601
11,0.26092,0.672178,-0.00582385,-0.0189235,0.0072216,0.00119108
12,0.241899,0.679133,-0.0046308,-0.0191221,0.0066879,0.00119521
13,0.222686,0.685551,-0.0034341,-0.0193057,0.00614865,0.00119839
14,0.203298,0.691427,-0.00223468,-0.0194741,0.00560426,0.00120064
15,0.183749,0.696756,-0.00103349,-0.0196272,0.00505517,0.00120193
16,0.164055,0.701534,0.00016851,-0.0197648,0.0045018,0.00120227
17,0.14423,0.705757,0.00137038,-0.0198869,0.0039446,0.00120166
18,0.124292,0.709421,0.00257116,-0.0199933,0.00338401,0.0012001
19,0.104255,0.712523,0.00376991,-0.0200838,0.00282048,0.00119758
20,0.0841355,0.715061,0.00496567,-0.0201585,0.00225445,0.00119412
21,0.0639493,0.717031,0.00615749,-0.0202173,0.00168638,0.00118971
22,0.0437123,0.718432,0.00734442,-0.02026,0.00111672,0.00118435
23,0.0234406,0.719264,0.00852553,-0.0202866,0.000545921,0.00117805
24,0.00315024,0.719524,0.00969986,-0.0202972,-2.55474e-05,0.00117081
25,-0.0171426,0.719213,0.0108665,-0.0202916,-0.000597231,0.00116264
26,-0.0374218,0.71833,0.0120245,-0.0202699,-0.00116867,0.00115354
27,-0.0576712,0.716876,0.0131729,-0.0202321,-0.0017394,0.00114352
28,-0.0778748,0.714852,0.0143109,-0.0201782,-0.00230896,0.00113258
29,-0.0980164,0.712259,0.0154375,-0.0201082,-0.00287689,0.00112074
30,-0.11808,0.7091,0.0165517,-0.0200222,-0.00344274,0.00110801
31,-0.13805,0.705376,0.0176529,-0.0199202,-0.00400603,0.00109438
32,-0.157909,0.70109,0.0187399,-0.0198023,-0.00456632,0.00107989
33,-0.177643,0.696246,0.019812,-0.0196685,-0.00512315,0.00106452
34,-0.197235,0.690846,0.0208684,-0.0195191,-0.00567606,0.00104831
35,-0.21667,0.684897,0.0219081,-0.0193541,-0.0062246,0.00103125
36,-0.235933,0.678401,0.0229303,-0.0191735,-0.00676833,0.00101337
37,-0.255007,0.671364,0.0239342,-0.0189777,-0.0073068,0.000994668
38,-0.273878,0.663791,0.0249191,-0.0187666,-0.00783958,0.000975173
39,-0.29253,0.655689,0.025884,-0.0185406,-0.00836622,0.000954895
40,-0.310948,0.647063,0.0268283,-0.0182996,-0.0088863,0.00093385
41,-0.329119,0.637921,0.0277512,-0.018044,-0.00939939,0.000912056
42,-0.347026,0.62827,0.0286519,-0.017774,-0.00990507,0.000889529
43,-0.364657,0.618117,0.0295298,-0.0174897,-0.0104029,0.000866288
44,-0.381996,0.60747,0.030384,-0.0171914,-0.0108925,0.000842351
45,-0.39903,0.596338,0.031214,-0.0168794,-0.0113735,0.000817738
46,-0.415745,0.584729,0.032019,-0.0165538,-0.0118455,0.000792468
47,-0.432129,0.572653,0.0327985,-0.0162149,-0.012308,0.000766562
48,-0.448166,0.56012,0.0335517,-0.015863,-0.0127608,0.000740042
49,-0.463846,0.547139,0.0342782,-0.0154985,-0.0132034,0.000712927
50,-0.479155,0.53372,0.0349772,-0.0151215,-0.0136355,0.000685241
51,-0.49408,0.519875,0.0356483,-0.0147324,-0.0140567,0.000657006
52,-0.508611,0.505615,0.0362908,-0.0143316,-0.0144666,0.000628245
53,-0.522736,0.49095,0.0369044,-0.0139193,-0.014865,0.000598981
54,-0.536442,0.475893,0.0374885,-0.0134958,-0.0152516,0.000569239
55,-0.54972,0.460456,0.0380426,-0.0130616,-0.0156259,0.000539042
56,-0.562558,0.44465,0.0385663,-0.0126169,-0.0159877,0.000508415
57,-0.574947,0.428489,0.0390591,-0.0121622,-0.0163367,0.000477383
58,-0.586876,0.411986,0.0395208,-0.0116978,-0.0166727,0.000445972
59,-0.598336,0.395153,0.0399508,-0.0112241,-0.0169953,0.000414206
60,-0.609318,0.378005,0.0403489,-0.0107415,-0.0173043,0.000382113
61,-0.619813,0.360554,0.0407148,-0.0102503,-0.0175994,0.000349718
62,-0.629813,0.342816,0.0410482,-0.00975099,-0.0178804,0.000317047
63,-0.639309,0.324803,0.0413487,-0.00924397,-0.0181471,0.000284128
64,-0.648295,0.306531,0.0416163,-0.00872966,-0.0183993,0.000250987
65,-0.656764,0.288015,0.0418506,-0.00820846,-0.0186367,0.000217652
66,-0.664708,0.269268,0.0420515,-0.00768081,-0.0188592,0.000184149
67,-0.672121,0.250307,0.0422188,-0.00714714,-0.0190667,0.000150506
68,-0.678998,0.231146,0.0423524,-0.00660788,-0.0192588,0.00011675
69,-0.685333,0.2118,0.0424522,-0.00606347,-0.0194355,8.29082e-05
70,-0.691122,0.192285,0.0425182,-0.00551436,-0.0195967,4.9009e-05
71,-0.696359,0.172617,0.0425502,-0.004961,-0.0197423,1.50795e-05
72,-0.701041,0.152812,0.0425483,-0.00440384,-0.019872,-1.88527e-05
73,-0.705164,0.132884,0.0425125,-0.00384332,-0.0199859,-5.27601e-05
74,-0.708725,0.112851,0.0424428,-0.00327992,-0.0200838,-8.66153e-05
75,-0.711722,0.0927279,0.0423393,-0.00271407,-0.0201657,-0.000120391
76,-0.714152,0.0725309,0.0422021,-0.00214626,-0.0202315,-0.000154059
77,-0.716013,0.0522762,0.0420313,-0.00157693,-0.0202812,-0.000187594
78,-0.717305,0.0319798,0.041827,-0.00100655,-0.0203147,-0.000220967
79,-0.718026,0.0116581,0.0415895,-0.000435569,-0.020332,-0.000254153
80,-0.718176,-0.00867293,0.0413189,0.000135537,-0.0203332,-0.000287124
81,-0.717755,-0.028997,0.0410154,0.000706314,-0.0203182,-0.000319853
82,-0.716764,-0.0492981,0.0406793,0.0012763,-0.0202871,-0.000352316
83,-0.715203,-0.06956,0.040311,0.00184504,-0.0202399,-0.000384485
84,-0.713075,-0.0897666,0.0399106,0.00241208,-0.0201766,-0.000416336
85,-0.71038,-0.109902,0.0394785,0.00297695,-0.0200974,-0.000447843
86,-0.707122,-0.12995,0.0390151,0.00353922,-0.0200022,-0.00047898
87,-0.703304,-0.149895,0.0385208,0.00409843,-0.0198913,-0.000509724
88,-0.698928,-0.169722,0.037996,0.00465413,-0.0197646,-0.000540049
89,-0.693998,-0.189414,0.037441,0.00520589,-0.0196223,-0.000569933
90,-0.688519,-0.208956,0.0368564,0.00575326,-0.0194646,-0.000599351
91,-0.682495,-0.228332,0.0362427,0.00629582,-0.0192915,-0.000628281
92,-0.675931,-0.247528,0.0356002,0.00683313,-0.0191033,-0.000656699
93,-0.668832,-0.266528,0.0349296,0.00736477,-0.0189001,-0.000684584
94,-0.661205,-0.285318,0.0342314,0.00789032,-0.018682,-0.000711914
95,-0.653056,-0.303882,0.0335062,0.00840937,-0.0184493,-0.000738668
96,-0.644391,-0.322206,0.0327545,0.00892152,-0.0182022,-0.000764825
97,-0.635218,-0.340276,0.031977,0.00942636,-0.0179408,-0.000790365
98,-0.625544,-0.358077,0.0311742,0.00992351,-0.0176654,-0.000815268
99,-0.615376,-0.375597,0.0303469,0.0104126,-0.0173762,-0.000839515
100,-0.604724,-0.39282,0.0294956,0.0108932,-0.0170735,-0.000863088
101,-0.593596,-0.409734,0.0286212,0.0113649,-0.0167576,-0.000885969
102,-0.582001,-0.426326,0.0277242,0.0118275,-0.0164286,-0.00090814
103,-0.569948,-0.442582,0.0268054,0.0122805,-0.0160869,-0.000929586
104,-0.557447,-0.458491,0.0258655,0.0127236,-0.0157327,-0.000950288
